IDADE,FX_ID,SEXO,p1,p2,p3,p4,p4a,p5,p6,p7,p8,p9a,p9b,p9c,p10A1,p10AB2,p10AB3,p10AB4,p10A5,p10A6,p10A7,p10A8,p10AB9,p10AB10,p10A11,p10AB12,p10A13,p10AB14,p10A15,p10A16,p10AB17,p10AB18,p10AB19,p10AB20,p10AB21,p10A22,p10A23,p10A24,p10A25,p10A26,p10AB27,p10AB28,p11A1,p11A2,p11A3,p11B1,p11B2,p11B3,p12Aa,p12Ab,p12Ac,p13AB,p14ABa,p14ABb,p14ABc,p14ABd,p14ABe,p14ABf,p15ABa,p15ABb,p15ABc,p15ABd,p15ABe,p15ABf,p92ABa,p92ABb,p92ABc,p16ABa,p16ABb,p16ABc,p16ABd,p16ABe,p16ABf,p16ABg,p16ABh,p16ABi,p16ABj,p16ABk,p16ABl,p16ABm,p16ABn,p16ABo,p17ABa1,p17ABa2,p17ABa3,p17ABa4,p17ABa5,p17ABa6,p17ABb1,p17ABb2,p17ABb3,p17ABb4,p17ABb5,p17ABb6,p17ABb7,p18ABa,p18ABb,p19ABa,p19ABb,p20ABa,p20ABb,p21ABa,p21ABb,p22B,p23Ba,p23Bb,p23Bc,p24B,p25Ba,p25Bb,p25Bc,p26ABa,p26ABb,p26ABc,p26ABd,p26ABe,p27ABa,p27ABb,p27ABc,p27ABd,p27ABe,p28B,p29Ba,p29Bb,p29Bc,p30B,p31Ba,p31Bb,p31Bc,p32B,p33B,p34Ba1,p34Ba2,p34Bb1,p34Bb2,p35Ba,p35Bb,p36AB,p37AB,p38AB,p39AB,p40AB,p41AB,p41ABado,p41ABent,p41ABnat,p42AB,p43AB,p44AB,p45ABa,p45ABb,p45ABc,p46ABa,p46ABb,p46ABc,p47ABa,p47ABb,p47ABc,p48AB,p49ABa,p49ABb1,p49ABb2,p49ABb3,p49ABb4,p49ABb5,p49ABb6,p49ABb7,p49ABb8,p49ABb9,p49ABb10,p50AB,p51AB,p52Adia,p52Ames,p52Aano,p53A,p58Aa,p58Ab,p58Ac,p59A,p59Ab_mes,p59Ab_ano,p60AB,p61A,p62Aa,p62Ab,p62Ac,p63ABaa,p63ABab,p63ABba,p63ABbb,p64ABaa,p64ABab,p64ABba,p64ABbb,p65ABa,p65ABb,p66AB,p67Aa,p67Ab,p67Ac,p67A,p68Aa,p68Ab,p68Ac,p69Aa,p69Ab,p70A,p70Aa,p71A,p71Aa,p72A,p73A,p74Aa,p74Ab,p74Ac,p75AB,p77Ba,p77Bb,p78Ba,p78Bb,p79Ba,p79Bb,p80Ba,p80Bb,p81Ba,p81Bb,p76Ba,p76Bb,p82Ba,p82Bb,p83Ba,p83Bb,p83Bc,reli1,reli2,reli3,reli4,reli5,p84a,p85ano,p85mes,p86a,p86b,p86c,p86d,p87,p88,p89,p90,p91ABrendafa,p91ABrendaf,CIDADE,porte1,porte2,tipo,pesoF,sede,ponto,data,nature,quest1,quest2,pesq,entrev,Indica,Nquest
34.0,3.0,1.0,3.0,6.0,0.0,1.0,6.0,1.0,0.0,3.0,1.0,100.0,137.0,148.0,4.0,4.0,3.0,2.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,7.0,21.0,25.0,,,,276.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,6.0,10.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,,,,,,,,,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,3.0,2.0,1.0,0.0,9.0,1.0,0.0,0.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,1.0,10.0,2.0,0.0,3.0,0.0,1.0,1.0,2.0,14.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,21.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,1100.0,3.0,43.0,3.0,12.0,1.0,1.2472621429411,9.0,59.0,1506.0,3.0,6.0,651.0,24.0,42.0,2.0,647.0
43.0,4.0,2.0,3.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,191.0,148.0,72.0,5.0,6.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,2.0,3.0,3.0,26.0,24.0,0.0,,,,140.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,6.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,6.0,6.0,1.0,4.0,6.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,9.0,3.0,0.0,0.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,10.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,21.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,1.0,2.0,0.0,0.0,13.0,3.0,5.0,3.0,999997.0,2.0,43.0,3.0,12.0,1.0,1.18476737546931,9.0,59.0,1506.0,3.0,5.0,652.0,24.0,44.0,2.0,648.0
52.0,5.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,3.0,145.0,153.0,194.0,4.0,1.0,4.0,3.0,3.0,3.0,7.0,3.0,2.0,4.0,4.0,3.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,22.0,9.0,,,,9.0,8.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,10.0,12.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,4.0,5.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,68.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,2.0,0.0,0.0,0.0,6.0,3.0,1.0,6.0,600.0,2.0,44.0,4.0,13.0,1.0,1.05409450317491,9.0,60.0,1506.0,3.0,8.0,653.0,23.0,45.0,1.0,649.0
17.0,1.0,2.0,1.0,7.0,0.0,2.0,0.0,1.0,0.0,5.0,1.0,997.0,0.0,0.0,3.0,1.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,12.0,20.0,19.0,,,,998.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,10.0,12.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,,,,,,,,,2.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,,1.0,,,2.0,,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,21.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,999997.0,7.0,44.0,4.0,13.0,1.0,0.956279865435063,9.0,60.0,1506.0,3.0,6.0,654.0,23.0,48.0,2.0,650.0
41.0,4.0,2.0,1.0,7.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,102.0,149.0,148.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,18.0,2.0,,,,14.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,13.0,3.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,6.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,4.0,2.0,1.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,99.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,997.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,3.0,0.0,0.0,0.0,10.0,3.0,1.0,6.0,999998.0,3.0,44.0,4.0,13.0,1.0,0.969844118845489,9.0,60.0,1506.0,3.0,5.0,655.0,23.0,46.0,2.0,651.0
61.0,6.0,2.0,3.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,79.0,72.0,148.0,3.0,1.0,4.0,1.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,5.0,5.0,1.0,6.0,3.0,1.0,3.0,2.0,18.0,27.0,,,,8.0,9.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,7.0,5.0,0.0,0.0,5.0,4.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,45.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,21.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,3.0,0.0,0.0,0.0,6.0,3.0,7.0,3.0,830.0,2.0,44.0,4.0,13.0,1.0,0.944355622512547,9.0,60.0,1506.0,3.0,1.0,656.0,23.0,46.0,2.0,652.0
19.0,2.0,2.0,1.0,7.0,0.0,1.0,11.0,3.0,2.0,0.0,0.0,997.0,0.0,0.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,99.0,0.0,0.0,,,,0.0,0.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,8.0,10.0,1.0,4.0,1.0,4.0,2.0,2.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,6.0,,,2.0,,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,55.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,250.0,1.0,45.0,4.0,13.0,1.0,0.868025267924917,9.0,61.0,1506.0,3.0,5.0,657.0,22.0,49.0,1.0,653.0
43.0,4.0,1.0,1.0,5.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,997.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,18.0,2.0,0.0,,,,154.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,10.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,4.0,2.0,1.0,1.0,3.0,98.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,1.0,0.0,0.0,0.0,14.0,5.0,2.0,3.0,1200.0,3.0,45.0,4.0,13.0,1.0,0.977446250794658,9.0,61.0,1606.0,3.0,7.0,658.0,22.0,46.0,1.0,654.0
22.0,2.0,1.0,1.0,8.0,0.0,1.0,8.0,7.0,0.0,0.0,0.0,997.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,17.0,,,,2.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,9.0,11.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,4.0,2.0,1.0,1.0,4.0,98.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,1350.0,3.0,45.0,4.0,13.0,1.0,0.832860065173161,9.0,61.0,1506.0,3.0,3.0,659.0,22.0,53.0,1.0,655.0
30.0,3.0,2.0,1.0,8.0,0.0,1.0,8.0,1.0,0.0,5.0,1.0,997.0,0.0,0.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,1.0,3.0,3.0,3.0,22.0,18.0,0.0,,,,20.0,0.0,0.0,2.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,10.0,11.0,12.0,1.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,6.0,1.0,3.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,20.0,22.0,0.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,998.0,,,,,,,,,,,,,,,,,,998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.0,0.0,0.0,0.0,4.0,0.0,7.0,5.0,2400.0,4.0,45.0,4.0,13.0,1.0,1.00313367849745,9.0,61.0,1506.0,3.0,4.0,660.0,22.0,52.0,1.0,656.0
41.0,4.0,1.0,1.0,5.0,1.0,2.0,0.0,1.0,0.0,5.0,1.0,226.0,112.0,70.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,,,,8.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,6.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,,,,,,,,,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,4.0,3.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,20.0,23.0,40.0,1.0,0.0,0.0,4.0,3.0,10.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,29.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,3.0,0.0,0.0,0.0,14.0,3.0,1.0,5.0,250.0,1.0,46.0,5.0,14.0,1.0,1.03853664146932,9.0,62.0,1506.0,3.0,3.0,661.0,25.0,40.0,1.0,657.0
22.0,2.0,1.0,1.0,7.0,0.0,2.0,0.0,1.0,0.0,5.0,2.0,101.0,0.0,0.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,,,,8.0,0.0,0.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,6.0,5.0,12.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,5.0,6.0,21.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,4.0,1.0,1.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,14.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,5.0,4.0,2000.0,3.0,46.0,5.0,14.0,1.0,1.03540467699588,9.0,62.0,1506.0,3.0,1.0,662.0,25.0,38.0,2.0,658.0
42.0,4.0,2.0,3.0,7.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,202.0,157.0,0.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,20.0,18.0,21.0,,,,74.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,12.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,30.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,20.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1.0,4.0,5.0,0.0,0.0,5.0,98.0,98.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,998.0,500.0,2.0,46.0,5.0,14.0,1.0,1.04896893040631,9.0,62.0,1506.0,3.0,6.0,663.0,25.0,46.0,2.0,659.0
